id,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,financial_loss_amount,sentiment_score,urgency_score,duration_of_ordeal_days,interaction_count,scam_archetype,communication_vector,payment_mechanism,company_behavior_flags,life_impact_categories,consumer_vulnerability_tags,regulatory_issues,third_party_entities,linked_financial_institutions
2c34159f-cbea-49ee-bbfe-57587320144b,12/30/21,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"On XX/XX/XXXX my wife and I notified Capital One via two separate phone calls that we were victims of wire fraud and that we wired funds from each of our Capital One accounts to a fraudulent account at XXXX XXXX ( {$130000.00} from my wifes account and {$130000.00} from my account ). Starting on this day and going forward Capital One grossly mishandled the situation. The person I spoke with on XX/XX/XXXX did not know what to do and how to handle the wire fraud situation. I was on hold off and on for hours. The representative could not get a form to work in order to report the situation appropriately and stated that nothing could be done until Monday, three business days later. This delay undoubtedly had negative impacts on the ability to recover our funds. 

We called back the next day since the wire team was no longer available after trying to work with that representative for so long. It took many escalations to get to a representative who had any idea what to do. After that day, we continued to have to call and spend hours on hold and escalating to get information on the case and to try to ensure that the situation was being handled appropriately. We were forced to call back many times and each time got nowhere. Calls were placed on XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XXXX, XX/XX/XXXX, and XX/XX/XXXX. We were told we would get a call back several times but it never happened. At no point was Capital One treating the situation with the immediacy and seriousness it called for. 

Eventually, a portion of our money was returned to my wifes Capital One account by XXXX XXXX ( {$120000.00} ). Capital One could not even provide any information when this occurred. They never followed up with XXXX XXXX. 

The case was closed only after I continued to call and insist someone follow up with XXXX XXXX to see if we would get the rest of our money back. Call after call I asked them to confirm that this was being treated seriously, believing that a so called investigation was ongoing and was told so. It became clear as time went on that the only thing that was done was a wire return request sent in early XXXX and resent in XXXX, over three months after the fact. 

The entire situation was so grossly mishandled by Capital One. Time is of the essence in wire fraud cases and Capital One failed to do their part to engage the proper teams and parties involved when they should have. Capital One was continually negligent in their responsibilities. Because of this, we lost {$140000.00} of our life savings.",None,CAPITAL ONE FINANCIAL CORPORATION,MA,01906,None,Consent provided,Web,12/30/21,Closed with explanation,Yes,N/A,5057291,140000.0,-0.9,10,120,12,Wire Fraud,Phone,Wire,Gross Mishandling|Negligence|Delayed Action|Lying,Loss of Life Savings,,Failure to Act,,Capital One
6853a9cb-fe9f-447e-8ef6-e8245dcd1f45,04/20/24,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,I reported XXXX XXXX  on my XXXX  card that charged me about XXXX in deferred interest because they closed it then asked for information which you the CFPB mustve briefly looked over they only provided information on XXXX remaining as I saved their pdf to you along with adding interest by large amounts every day. My XXXX XXXX card also does not show how I got to that amount they just threw in some random months to make it look legitimate yet that does not show how I got total balance and theyre charging me interest on that amount Ive reported it over and over they finally responded and you guys didnt check the pages it shows nothing how I got these balances XXXX  only showed I owed XXXX but then skipped ahead and showed right when closed early XXXX XXXX XXXX in deferred interest since that time I have paid well over XXXX to them which is noted and no one has done anything to XXXX same thing Im attaching their files they sent you to show it made no sense and didnt add up and to closing my accounts for risky behavior they explain reason why I was risky payments on time low balance to utilization etc they are a scam,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MA,021XX,Servicemember,Consent provided,Web,04/20/24,Closed with non-monetary relief,Yes,N/A,8818798,0.0,-0.7,6,90,5,Predatory Lending / Deferred Interest Scam,Mail,Credit Card,Inaccurate Billing|Account Closure without Cause,Credit Score Damage,,TILA Violation,,
8ba2151c-08b0-48fd-8b6d-6ace41a5ce2c,07/20/24,"Money transfer, virtual currency, or money service",Virtual currency,Unexpected or other fees,None,"Hello Sir/Madam, I opened my crypto wallet account in Gemini & I transferred cash to my new Gemini account. It was working fine till XX/XX/year>. I convert that cash into XXXX & send that XXXX to my other wallet I have on XXXX. Yesterday XX/XX/year> when I tried to send my XXXX from Gemini account to XXXX  account, Gemini froze my account stating there was suspicious activity on my wallet. 

Gemini has no right to froze account without my consent or if I report Gemini for any fraudulent activity in my account. 

I did research on Gemini & Gemini have so many complaints against them to Freeze customers account to steal the funds from their account. 

Please take strict against Gemini & XXXX XXXX Gemini XXXX, Partners, XXXX, Employees etc., ASAP to take Customers funds & freeze their accounts & stating there was fraudulent activity in your account. 

I can understand Gemini have policy to freeze customers account if they find suspicious activity. However they should return customers funds to their bank account. 

Gemini have no right to use Customers funds & freeze their accounts. 

I want all my funds back into my bank account ASAP. Gemini should pay for the damages that caused me & shouldn't deduct any fees from my account. 

I need full money back to my back account what I had transferred to Gemini account. 

Please take a strict & revoke their business license so that they can scam any future customers. 

Please help me. 

Thanks. 
Your 's Truly",None,Winklevoss Exchange LLC,MA,02062,None,Consent provided,Web,07/20/24,Closed with explanation,Yes,N/A,9566409,0.0,-0.8,9,2,2,Account Freeze,Digital,Cryptocurrency,Funds Held|No Consent for Freeze,Loss of Liquidity,,,Gemini,
db01981c-a179-4296-bb7d-8bd36f488b51,07/25/24,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,"I recently received a Cash App card in the mail. It has my name on it and was addressed to me. There is one message. "" Activate your card, Scan code in Cash App. '' I thought this was a promotion so I downloaded the Cash App app to get the details of the offer. It had me set up a profile. There was no option to scan the code or link the card. It turns out the card has a user name on it already. They call it a XXXX like a XXXX. There was no apparent record of me opening the account with that XXXX or requesting a card. I asked for more information, but they wouldn't provide it until I would provide them with a lot more information. I provided a lot of information when I downloaded the app. This seemed like a scam. I asked to be put in touch with their fraud department. They wouldn't connect me, and didn't call me back either. This is potentially a UDAAP violation, and at a minimum a Reg E violation ( 12 CFR 1005.5 ). Please help me resolve this mysteriously opened account and issuance of an access device.",None,"Block, Inc.",MA,024XX,None,Consent provided,Web,07/25/24,Closed with explanation,Yes,N/A,9613791,0.0,-0.5,6,7,2,Identity Theft,Mail,Debit Card,Uncooperative Fraud Department|Unsolicited Card Issuance,Potential Identity Theft,,Regulation E Violation|UDAAP Violation,Cash App,
1c38d24a-dcea-416b-ae2b-3e550f858567,10/07/25,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Of course. That's a critical detail to add as it further demonstrates that you were following their instructions in good faith, which directly led to the delay they are now penalizing you for. 

Here are the updated sections. I've integrated this new information into the timeline. 

What happened? 
My complaint is against Capital One for its failure to properly investigate my dispute over a {$4000.00} charge from a deceptive merchant, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/year>. Despite receiving clear evidence of the merchant 's misconduct, Capital One provided conflicting guidance and instructions that caused my case to be unfairly dismissed. 

The merchants transaction is invalid for XXXX key reasons : Deceptive Transaction Process : The merchants own evidence, which I provided to Capital One, proves they captured my {$4000.00} payment XXXX minutes before I was ever shown their terms and conditions or strict no-refund policy. Consent was coerced after my money was already taken. 

Material Misrepresentation of Service : The service provided was materially different from what was advertised, amounting to a common online course scam where the value and content delivered failed to match the promises made. 

Here is the timeline of Capital One 's procedural failures : XX/XX/year> : I filed the initial dispute. 

XXXX : I received a letter from Capital One closing the case but allowing me to submit additional information by XX/XX/XXXX. 

XX/XX/year> : Well before the deadline, I submitted XXXX detailed letters with extensive evidence and exhibits proving the merchant 's deception. 

XXXX XXXX XXXX : Instead of addressing my evidence, a Capital One representative denied the claim on a technicality ( the dispute category ) and explicitly instructed me to first try and resolve the issue directly with the merchant. 

Following Instructions : Following Capital One 's guidance, I attempted to resolve the issue by opening a formal resolution case on the merchant 's platform, Whop.com, and reached out to the merchant multiple times. The merchant was unresponsive. 

XX/XX/year> : After my attempts to work with the merchant failed per Capital One 's instructions, I called them back to proceed. It was then that I was given XXXX contradictory instructions over XXXX separate calls, with the final representative telling me I could no longer reopen the case because the XX/XX/XXXX deadline had passed. 

Capital One instructed me to take actions that consumed time, then used the passage of time as the reason to deny my claim. They ignored the substance of my well-documented case and created a confusing process that made a fair outcome impossible.",None,CAPITAL ONE FINANCIAL CORPORATION,MA,015XX,None,Consent provided,Web,10/07/25,Closed with monetary relief,Yes,N/A,16421363,4000.0,-0.7,7,60,6,Online Course Scam,Website,Credit Card,Conflicting Guidance|Denied Claim on Technicality|Procedural Failure,Financial Loss,,Unfair Claim Processing,Whop.com,Capital One
82d8ce26-1fe7-4a41-9dad-d22882a1e9f3,05/18/21,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,"Hello, Received letter in the mail from a debt collection agency, UNIFIN, based in XXXX, IL. I called the number twice and spoke with an agent but did not get her name. When called back after contacting what I thought was the original debt who could not find me in their system I called the debt collector back. The agent XXXX who was a woman verified me by my name and last four of SS #. I then proceeded to tell her that this was not my debt and asked for information on who the original debt belonged to. On the letter the original debt is XXXX, when speaking to the agent she stated the acronym stands for XXXX XXXX XXXX Bank based in XXXX IL. She provided me with a number so that I could inquire about myself. The number is given to me by agent XXXX. I called the number once on my own and called again after speaking with the agent. I spoke to the same individual who confirmed they were not XXXX XXXX XXXX Bank XXXX, but XXXX XXXX XXXX Bank based in XXXX PA. This is clearly fraudulent and wanted to alert you to this scam!! When asking the agent where was the call center was located that I was calling she refused to provide me with that information.",None,Unifin Inc.,MA,021XX,None,Consent provided,Web,05/18/21,Closed with explanation,Yes,N/A,4386187,0.0,-0.8,6,1,4,Debt Collection Phishing,Mail,None,Refused to provide location|Misleading information,,,Fair Debt Collection Practices Act Violation,UNIFIN,
ab76e596-1d20-41f4-8768-bd3f74fd0f67,01/16/25,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Other transaction problem,None,"I am writing to formally express my concerns regarding Zelle 's handling of disputes, particularly in light of the recent CFPB lawsuit highlighting significant issues with the platform. Despite using Zelle numerous times and reporting discrepancies, my financial institution which is XXXX  XXXX XXXX and Zelle failed to investigate my claims adequately. They informed me that recovering lost funds was impossible and that tracking these transactions was unfeasible. The CFPB 's findings indicate that Zelle has not only neglected to protect consumers but has also allowed repeat offenders to exploit the system, leaving users vulnerable to scams.",None,"Early Warning Services, LLC",MA,021XX,None,Consent provided,Web,01/16/25,Closed with explanation,Yes,N/A,11582966,0.0,-0.7,5,0,1,Authorized Push Payment Scam,None,Zelle,Denied Claim|Inadequate Investigation,,,Regulation E Violation,Zelle,
0bad77ad-827d-4ab4-8f5d-d9637203cb14,11/23/22,Student loan,Private student loan,Getting a loan,Confusing or misleading advertising,"Navient, via Navi-Refi sent me an offer to lower my student loans. I am looking to refinance my variable rate loans with Navient because they are currently at XXXX %, highest they ever have been. I received a letter saying they could refinance my loans with a lower fixed rate. I took the bait and filled out my information and submitted to a hard credit pull. When the "" select your loans to be refinanced '' screen came up, only my federal loans showed up, not my loans currently with Navient. 

This is a disingenuous business practice. They know what loans I have with them and which loans I would most likely want to refinance ( the high interest loans with no chance of federal loan forgiveness ). They didn't offer any of those loans up for refinance despite the fact that was not explicitly stated on the mailing I received. I had assumed ( wrongly ) that all of my student loans would be available to refinance. There was no indication on the mailing that they wouldn't. 

I submitted to a hard credit pull which will negatively impact my credit score so I could see my "" new rate '' only to be confronted with loans I have no interest in refinancing. 

They are trying to scam people out of money by quickly refinancing federal loans before the loan forgiveness program sets in. On top of this, they are intimidating people with an unnecessary hard credit pull so they can "" see their rate ''. I realized this too late and had to take a hit on my credit score as a result. 

This is completely unfair and if I had been less student loan savvy or more drunk I could have easily been taken advantage of by the business practices of Navient and their subsidiaries. SHAME ON THEM AND THEIR MALFEASANCE. 

Please help to rectify this for people so they are not scammed out of their hard earned money.",None,"Navient Solutions, LLC.",MA,02131,None,Consent provided,Web,11/23/22,Closed with explanation,Yes,N/A,6231919,0.0,-0.9,7,1,1,Deceptive Marketing,Mail,None,Misleading information|Bait and Switch,Credit Score Damage,Student Loan Borrower,UDAAP,Navi-Refi,Navient
338b078f-f85c-49a3-8566-72f1ecde304e,12/16/24,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"I received a debit card in the mail from Cash app. It asked me to activate the card which I did not because I never replied for anything on the cash app website nor request any debit card from Cash app Cash app to say that this was probably fraudulent and wanted me to take a picture of the card so they can disable it and I dont feel comfortable with that if they sent it to me, then they should know the card number.",None,"Block, Inc.",MA,02180,None,Consent provided,Web,12/16/24,Closed with explanation,Yes,N/A,11174994,0.0,-0.4,4,1,1,Identity Theft,Mail,Debit Card,Suspicious data request,,,,Cash App,
9108bf63-fd42-46c1-88a3-39df08344095,09/22/22,Debt collection,Credit card debt,Written notification about debt,Didn't receive enough information to verify debt,"I supposedly had a debt from the early XXXX in which this company Schreiber Law LLC XXXX XXXX XXXX XXXX XXXX XXXX, NH XXXX phone number listed is XXXX is claiming I still owe and they are collecting from a credit card company. The debt is so old I dont even remember owing it. Next thing I know I was taken to court for a debt that is over 20 years old I panicked in court because I felt intimidated and agreed to make payments on the debt that I was told I would get all the information on the debt which this company still has not provided. Ive paid over {$400.00} on the debt but my balance is still the same it never goes down and Ive made several attempts to contact the company but never can reach a person Ive left several messages but still do not get a response. Ive contacted them to ask for the proof I was told I would receive to prove its my debt and calls and messages go unresponsive. I have recently lost my job and contacted them and actually got a live person for once in my life and explained to them the whole situation that I never received the proof and my employment situation was then told my agent would be told and would be in touch now Im getting letters stating action will be taken for non payment even though I spoke to someone and explained my situation. Now I am feeling like this company is a scam because they never call me or send proof of the debt. I was told after so many years the debt can not be collected. They take my money but the debt amount is still the same after paying on this for 2 years. No one ever answers the phone and I feel this is a scam. I ask for answers and proof of this debt but dont get anywhere but I paid because I was afraid I would go to jail because I did agree to pay in court. This debt isnt even on my credit report so I am in desperate need to know what the next steps are for me I need answers and help to figure out if this company is even legit. Please help because I dont know what else to do.",None,Schreiber Law LLC,MA,02740,None,Consent provided,Web,09/22/22,Closed with explanation,Yes,N/A,6008219,400.0,-0.9,9,730,10,Zombie Debt Collection,Legal Action,None,Lack of Response|Refused validation of debt|Harassment,Financial Hardship|Emotional Distress,Unemployed,FDCPA Violation|Statute of Limitations Breach,Schreiber Law LLC,
